ITEM,P176x,PORT,BIT,FUNC1,FUNC2,FUNC3,SIGNAL,FUNC,IN/OUT,MODE,OD,DEF,ACT
1,46,0,0,RD1,TXD3,SDA1,PIC_TXD,1,1,,,,
2,47,0,1,TD1,RXD3,SCL1,PIC_RXD,1,0,,,,
3,98,0,2,TXD0,N/A,N/A,TXD1,1,0,,,,
4,99,0,3,RXD0,N/A,N/A,RXD1,1,1,,,,
5,81,0,4,I2SRX_CLK,RD2,CAP2.0,IR_SIG,0,1,,,,
6,80,0,5,I2SRX_WS,TD2,CAP2.1,ST_LED2,0,0,,,0,1
7,79,0,6,I2SRX_SDA,SSEL1,MAT2.0,ST_LED3,0,0,,,0,0
8,78,0,7,I2STX_CLK,SCK1,MAT2.1,ST_LED4,0,0,,,0,0
9,77,0,8,I2STX_WS,MISO1,MAT2.2,ST_LED5,0,0,,,0,0
10,76,0,9,I2SRTX_SDA,MOSI1,MAT2.3,ST_LED6,0,0,,,0,0
11,48,0,10,TXD2,SDA2,MAT3.0,SDA2,2,0,,,,
12,49,0,11,RXD2,SCL2,MAT3.1,SCL2,2,0,,,,
13,N/A,0,12,N/A,N/A,N/A,,,,,,,
14,N/A,0,13,N/A,N/A,N/A,,,,,,,
15,N/A,0,14,N/A,N/A,N/A,,,,,,,
16,62,0,15,TXD1,SCK0,SCK,SPI_CLK,3,,,,,
17,63,0,16,RXD1,SSEL0,SSEL,SPI_CSEL,3,,,,,
18,61,0,17,CTS1,MISO0,MISO,SPI_MISO,3,,,,,
19,60,0,18,DCD1,MOSI0,MOSI,SPI_MOSI,3,,,,,
20,59,0,19,DSR1,MCICLK,SDA1,SPI_HOLD,,,,,,
21,58,0,20,DTR1,MSICMD,SCL1,MCU_RESET_OUT,,,,,,
22,57,0,21,RI1,MCIPWR,RD1,GLOBAL_RESET,,,,,,
23,56,0,22,RTS1,MCIDATA0,TD1,PIC_RESET,0,,,1,1,
24,9,0,23,AD0.0,I2SRX_CLK,CAP3.0,MCU_3V3_EN,0,0,,,0,0
25,8,0,24,AD0.1,I2SRX_WS,CAP3.1,MCU_1V8_EN,0,0,,,0,0
26,7,0,25,AD0.2,I2SRX_SDA,TXD3,,,,,,,
27,6,0,26,AD0.3,AOUT,RXD3,,,,,,,
28,25,0,27,SDA0,N/A,N/A,SDA,1,,,,,
29,24,0,28,SCL0,N/A,N/A,SCL,1,,,,,
30,29,0,29,USB_D+1,N/A,N/A,USB_DP,0,,,,,
31,30,0,30,USB_D-1,N/A,N/A,USB_DM,0,,,,,
32,N/A,0,31,N/A,N/A,N/A,,,,,,,
33,95,1,0,ENET_TXD0,N/A,N/A,PB0,0,1,,,,0
34,94,1,1,ENET_TXD1,N/A,N/A,PB1,0,1,,,,0
35,N/A,1,2,N/A,N/A,N/A,,,,,,,
36,N/A,1,3,N/A,N/A,N/A,,,,,,,
37,93,1,4,ENET_TX_EN,N/A,N/A,PB2,0,1,,,,0
38,N/A,1,5,N/A,N/A,N/A,,,,,,,
39,N/A,1,6,N/A,N/A,N/A,,,,,,,
40,N/A,1,7,N/A,N/A,N/A,,,,,,,
41,92,1,8,ENET_CRS,N/A,N/A,PB3,0,1,,,,0
42,91,1,9,ENET_RXD0,N/A,N/A,PB4,0,1,,,,0
43,90,1,10,ENET_RXD1,N/A,N/A,PB5,0,1,,,,0
44,N/A,1,11,N/A,N/A,N/A,,,,,,,
45,N/A,1,12,N/A,N/A,N/A,,,,,,,
46,N/A,1,13,N/A,N/A,N/A,,,,,,,
47,89,1,14,ENET_RX_ER,N/A,N/A,S10_SW_ENABLE,0,1,,,,
48,88,1,15,ENET_REF_CLK,N/A,N/A,,,,,,,
49,87,1,16,ENET_MDC,N/A,N/A,AUX2,0,0,,,,
50,86,1,17,ENET_MDIO,N/A,N/A,AUX1,0,0,,,,
51,32,1,18,USP_UP_LED,PWM1.1,CAP1.0,USP_UP_LED,0,0,,,,
52,33,1,19,USB_TX_E1,USB_PPWR1,CAP1.1,CHAN_SEL,0,0,,,,
53,34,1,20,USB_TX_DP1,PWM1.2,SCK0,SHUNT_CH1,0,0,,,0,0
54,35,1,21,USB_TX_DM1,PWM1.3,SSEL0,SHUNT_CH2,0,0,,,1,0
55,36,1,22,USB_RCV1,USB_PWRD1,MAT1.0,,,,,,,
56,37,1,23,USB_RX_DP1,PWM1.4,MISO0,PWM_GCA1,0,1,,,,
57,38,1,24,USB_RX_DM1,PWM1.5,MOSI0,PWM_GCA2,0,1,,,,
58,39,1,25,USB_LS1,USB_HSTEN1,MAT1.1,,,,,,,
59,40,1,26,USB_SSPND1,PWM1.6,CAP0.0,,,,,,,
60,43,1,27,USB_INT1,USB_OVRCR1,CAP0.1,,,,,,,
61,44,1,28,USB_SCL1,PCAP1.0,MAT0.0,,,,,,,
62,45,1,29,USB_SDA1,PCAP1.1,MAT0.1,,,,,,,
63,21,1,30,N/A,VBUS,AD0.4,MCU_VBUS,0,,,,,
64,20,1,31,N/A,SCK1,AD0.5,PIC_ERR,0,1,,,,
65,75,2,0,PWM1.1,TXD1,TRACECLK,TRACE0,0,1,,,,
66,74,2,1,PWM1.2,RXD1,PIPESTAT0,TRACE1,0,1,,,,
67,73,2,2,PWM1.3,CTS1,PIPESTAT1,TRACE2,0,1,,,,
68,70,2,3,PWM1.4,DCD1,PIPESTAT2,TRACE3,0,1,,,,
69,69,2,4,PWM1.5,DSR1,TRACESYNC,TRACE4,0,1,,,,
70,68,2,5,PWM1.6,DTR1,TRACEPKT0,TRACE5,0,1,,,,
71,67,2,6,PCAP1.0,RI1,TRACEPKT1,TRACE6,0,1,,,,
72,66,2,7,RD2,RTS1,TRACEPKT2,TRACE7,0,1,,,,
73,65,2,8,TD2,TXD2,TRACEPKT3,TRACE8,0,1,,,,
74,64,2,9,USB_CONNECT,RXD2,EXTIN0,USB_CONNECT,0,,,,,
75,53,2,10,EINT0,N/A,N/A,L14_BOOT_CONTROL,0,1,,,,
76,52,2,11,EINT1,MCIDAT1,I2STX_CLK,INT2_RX,0,1,,,,
77,51,2,12,EINT2,MCIDAT2,I2STX_WS,INT_TX,0,1,,,,
78,50,2,13,EINT3,MCIDAT3,I2STX_SDA,INT_RX,0,1,,,,
79,N/A,2,14,N/A,N/A,N/A,,,,,,,
80,N/A,2,15,N/A,N/A,N/A,,,,,,,
81,N/A,2,16,N/A,N/A,N/A,,,,,,,
82,N/A,2,17,N/A,N/A,N/A,,,,,,,
83,N/A,2,18,N/A,N/A,N/A,,,,,,,
84,N/A,2,19,N/A,N/A,N/A,,,,,,,
85,N/A,2,20,N/A,N/A,N/A,,,,,,,
86,N/A,2,21,N/A,N/A,N/A,,,,,,,
87,N/A,2,22,N/A,N/A,N/A,,,,,,,
88,N/A,2,23,N/A,N/A,N/A,,,,,,,
89,N/A,2,24,N/A,N/A,N/A,,,,,,,
90,N/A,2,25,N/A,N/A,N/A,,,,,,,
91,N/A,2,26,N/A,N/A,N/A,,,,,,,
92,N/A,2,27,N/A,N/A,N/A,,,,,,,
93,N/A,2,28,N/A,N/A,N/A,,,,,,,
94,N/A,2,29,N/A,N/A,N/A,,,,,,,
95,N/A,2,30,N/A,N/A,N/A,,,,,,,
96,N/A,2,31,N/A,N/A,N/A,,,,,,,
97,N/A,3,0,N/A,N/A,N/A,,,,,,,
98,N/A,3,1,N/A,N/A,N/A,,,,,,,
99,N/A,3,2,N/A,N/A,N/A,,,,,,,
100,N/A,3,3,N/A,N/A,N/A,,,,,,,
101,N/A,3,4,N/A,N/A,N/A,,,,,,,
102,N/A,3,5,N/A,N/A,N/A,,,,,,,
103,N/A,3,6,N/A,N/A,N/A,,,,,,,
104,N/A,3,7,N/A,N/A,N/A,,,,,,,
105,N/A,3,8,N/A,N/A,N/A,,,,,,,
